Configuration;Timestamp;LocationProtocol;LocationHostname;LocationPathname;ResourceID;ResourceContentType;ResourceURL;ResourceHost;ResourcePath;ResourceRequested;ResourceCompleted;ResourceFailed
test;1438002405705;http;www.wtf.nl;"/";194;"text/javascript";"https://ad.doubleclick.net/ddm/adj/N6090.817588.ACCUENNLDBMPHD1/B8837872.119673974;sz=300x250;click=http://bid.g.doubleclick.net/xbbe/creative/click?d=APEucNVnBqba_vLCEt0jHKa24Sq1NdcMpj-asZ8BYG0fDw9bgNlz8cvlIjJuqlmPxJ-4jXc318ZI-zJkl17jXPpc6qKa5joemWQPqOlAe9QifdmYd_ORl0w&r1=;ord=ABAjH0jiB2qU3bJfIEZJcGDAujTR?";ad.doubleclick.net;"/ddm/adj/N6090.817588.ACCUENNLDBMPHD1/B8837872.119673974;sz=300x250;click=http://bid.g.doubleclick.net/xbbe/creative/click";1571;1619;0
test;1438002405705;http;www.wtf.nl;"/";195;"text/javascript";"http://bid.g.doubleclick.net/xbbe/creative/adj?d=APEucNW78cJVBwJwO6znEmaI81Kvmc7woFt1KtBOwS0zMK-sr1sb9fUfvDc1pMQ6EWFFFY00ReFrWhGJ9CyQiLQrbNNAAJDkElnsWEdxtMqI67miUmXO7dLsDnVNag8aSozNlwvr_WQa_xeem-brWIJbdP8fBMWpgAt0mBfnpcTd0kZCU-dSrBq8ruQiNw7oVB91gOOovUFfAYXx7UtN-aF28ak7JSNQlHAvhk9VirCNNo_a1aFHrs7YRhwJq03c5kFdi-_2rGW2iaVSTI_iCgdb9tAsIMnYEt_xVV2HZE6Kk-6YTT0QnYA71L5YHw2F93CSYpt1RzvdzYFADI-0iDF67SHLfVpfnKHSgK_pjjTnmr10WpV4Ydw68bjEwAwkWkhKAAEsJpeK&pr=IKE8V77bmg4z5myPH8wPxPjPlwzPkZaNr3ph-g";bid.g.doubleclick.net;"/xbbe/creative/adj";1571;1635;0
test;1438002405705;http;www.wtf.nl;"/";198;"image/gif";"http://bid.g.doubleclick.net/xbbe/beacon?data=APEucNVnBqba_vLCEt0jHKa24Sq19HLT0HtwrV7Exu4-UJ5XeO_-9DS8bK4Gtwg1q__rZGaFhLzT5zlzkGg1u2ki0Qs34nb_eg";bid.g.doubleclick.net;"/xbbe/beacon";1572;1618;0
test;1438002405705;http;www.wtf.nl;"/";199;"image/gif";"https://cdn.tradefxads.com/images/ads.tradefx.com/servlet/files/51733";cdn.tradefxads.com;"/images/ads.tradefx.com/servlet/files/51733";1574;1732;0
test;1438002405705;http;www.wtf.nl;"/";200;"image/gif";"http://ad.360yield.com/match?publisher_dsp_id=42&external_user_id=DeROngHPRyxx-kBB1mfWUBTUAoAmF2Qq0&expiration=1440601607";ad.360yield.com;"/match";1590;1623;0
test;1438002405705;http;www.wtf.nl;"/";201;"image/gif";"http://ad.360yield.com/match?publisher_dsp_id=37&external_user_id=dce04f87-ef68-420f-a861-a8b03f30906a";ad.360yield.com;"/match";1619;1683;0
test;1438002405705;http;www.wtf.nl;"/";202;"image/gif";"http://ad.360yield.com/match?publisher_dsp_id=79&external_user_id=f4c93c56-ec59-491a-9b84-648cebbd377a";ad.360yield.com;"/match";1619;1682;0
test;1438002405705;http;www.wtf.nl;"/";203;"text/javascript";"https://s0.2mdn.net/879366/dfa7banner_flash_inpage_rendering_lib_200_87.js";s0.2mdn.net;"/879366/dfa7banner_flash_inpage_rendering_lib_200_87.js";1621;1699;0
test;1438002405705;http;www.wtf.nl;"/";204;"text/javascript";"http://pagead2.googlesyndication.com/pagead/js/lidar.js";pagead2.googlesyndication.com;"/pagead/js/lidar.js";1622;1648;0
test;1438002405705;http;www.wtf.nl;"/";205;"text/html";"http://googleads.g.doubleclick.net/xbbe/pixel?d=COPiBxDRkRMYz9H7BA&v=APEucNVp_-dU1IdghJWpyMe4R5nMiT9q3d6J-PFBa5IjjeHZKzxaEVBlWdoMDKGn8ODDKEsqDIebVB8Y6uRT30Nvw2oPcxqM4CG3m7rDCk4c9lFZauvv26w";googleads.g.doubleclick.net;"/xbbe/pixel";1625;1724;0
test;1438002405705;http;www.wtf.nl;"/";206;"image/gif";"http://pagead2.googlesyndication.com/activeview?id=osdim&avi=Bn5tc5iy2Vbu2JuiN7gaf-5vICgAAAAAQATgByAEJwAIC4AIA4AQBoAYfwhMDEIAB&cid=5GgsGTE1W9swiuJ0Jh0suzYHMsE&ti=1&adk=2170647237&p=79,320,79,320&tos=0,0,0,0,0&mtos=0,0,0,0,0&rs=3&ht=0&fp=correlator%3D1044010617536512%26eid%3D108809080%252C108809047%252C108809050%26iu%3D%252F4442%252FP4442.WTF.nl%252Fhome%26oid%3D3%26url%3Dhttp%253A%252F%252Fwww.wtf.nl%252F&afp=%26output%3Djson_html%26impl%3Dfif%26dt%3D1438002406275%26adx%3D86%26ady%3D60%26ifi%3D1%26flash%3D0&gte=5&tmo=5&tme=267&tdl=177&abd=1-0-1&r=u&bs=640,1136&bos=-12245933,-12245933&ps=640,7421&ss=1920,1080&tt=525&pt=-1&deb=1-0-3-1-2--1&tvt=257&uc=1&tgt=nf&cl=0";pagead2.googlesyndication.com;"/activeview";1627;1683;0
test;1438002405705;http;www.wtf.nl;"/";207;"image/gif";"http://dc299.s372.meetrics.net/bb-mx/revoke?BTAx0Az4AwwAy0Aw2A44A25A5wA24A4BE";dc299.s372.meetrics.net;"/bb-mx/revoke";1628;1726;0
test;1438002405705;http;www.wtf.nl;"/";208;"image/gif";"http://dc45.s372.meetrics.net/bb-mx/revoke?BTAx0Az4AwwAy0Aw3Aw2A15A5wA24A4BE";dc45.s372.meetrics.net;"/bb-mx/revoke";1629;1726;0
