Configuration;Timestamp;LocationProtocol;LocationHostname;LocationPathname;CookieDomain;CookieName;CookieValue;CookieParty;CookiePartyCategory
deeplinks;1449670048474;http;www.nu.nl;"/dieren";.www.nu.nl;"_gat";"1";Google Analytics;stats
deeplinks;1449670048474;http;www.nu.nl;"/dieren";.www.nu.nl;"_ga";"GA1.3.1873267896.1449670049";Google Analytics;stats
deeplinks;1449670054088;http;www.nu.nl;"/opmerkelijk";bam.nr-data.net;"JSESSIONID";"9d824c7cbe074df";New Relic;ads
deeplinks;1449670054088;http;www.nu.nl;"/opmerkelijk";.xiti.com;"idrxvr";"6EDD5C8F-7C29-4A93-8E26-9ED5A6A578AE";AT Internet;stats
deeplinks;1449670054088;http;www.nu.nl;"/opmerkelijk";www.nu.nl;"consentBarViewCount";"1";Sanoma Consent Manager;functional
deeplinks;1449670054088;http;www.nu.nl;"/opmerkelijk";.nu.nl;"SanomaWeb";"dlhkyqe4qi";Site-own;functional
deeplinks;1449670054088;http;www.nu.nl;"/opmerkelijk";.nu.nl;"SanomaWebSession";"mcwtj9onj5";Site-own;functional
deeplinks;1449670054088;http;www.nu.nl;"/opmerkelijk";.scorecardresearch.com;"UIDR";"1449670054";ScoreCard Research;stats
deeplinks;1449670054088;http;www.nu.nl;"/opmerkelijk";.scorecardresearch.com;"UID";"1D023a14a90a11122a5fff21449670054";ScoreCard Research;stats
deeplinks;1449670054088;http;www.nu.nl;"/opmerkelijk";.sanoma.fi;"SanomaWeb";"678ddb32-3442-4a67-89fb-3ff10ddafd80";Site-own;functional
deeplinks;1449670054088;http;www.nu.nl;"/opmerkelijk";.www.nu.nl;"_gat";"1";Google Analytics;stats
deeplinks;1449670054088;http;www.nu.nl;"/opmerkelijk";.www.nu.nl;"_ga";"GA1.3.743774689.1449670054";Google Analytics;stats
deeplinks;1449670059774;http;www.nu.nl;"/wetenschap";bam.nr-data.net;"JSESSIONID";"e2bd4fc1533d5ccf";New Relic;ads
deeplinks;1449670059774;http;www.nu.nl;"/wetenschap";.xiti.com;"idrxvr";"DC10DB54-51E8-44ED-BF37-4FD6CAB0D065";AT Internet;stats
deeplinks;1449670059774;http;www.nu.nl;"/wetenschap";www.nu.nl;"consentBarViewCount";"1";Sanoma Consent Manager;functional
deeplinks;1449670059774;http;www.nu.nl;"/wetenschap";.scorecardresearch.com;"UIDR";"1449670059";ScoreCard Research;stats
deeplinks;1449670059774;http;www.nu.nl;"/wetenschap";.scorecardresearch.com;"UID";"14023a14a90a11122a62ac21449670059";ScoreCard Research;stats
deeplinks;1449670059774;http;www.nu.nl;"/wetenschap";.nu.nl;"SanomaWeb";"xxvybhzsi8";Site-own;functional
deeplinks;1449670059774;http;www.nu.nl;"/wetenschap";.nu.nl;"SanomaWebSession";"dnubs4bn42";Site-own;functional
deeplinks;1449670059774;http;www.nu.nl;"/wetenschap";.sanoma.fi;"SanomaWeb";"18038f5d-6b93-4887-ab8d-18293280b1f6";Site-own;functional
deeplinks;1449670059774;http;www.nu.nl;"/wetenschap";.www.nu.nl;"_gat";"1";Google Analytics;stats
deeplinks;1449670059774;http;www.nu.nl;"/wetenschap";.www.nu.nl;"_ga";"GA1.3.2102705367.1449670060";Google Analytics;stats
deeplinks;1449670065362;http;www.nu.nl;"/overig";bam.nr-data.net;"JSESSIONID";"70e3963f007a04cd";New Relic;ads
deeplinks;1449670065362;http;www.nu.nl;"/overig";.xiti.com;"idrxvr";"7223EF80-D5DB-40B8-B0E8-DE9160519D65";AT Internet;stats
deeplinks;1449670065362;http;www.nu.nl;"/overig";www.nu.nl;"consentBarViewCount";"1";Sanoma Consent Manager;functional
deeplinks;1449670065362;http;www.nu.nl;"/overig";.nu.nl;"SanomaWeb";"n69yavzsoa";Site-own;functional
deeplinks;1449670065362;http;www.nu.nl;"/overig";.nu.nl;"SanomaWebSession";"gtubkd2buo";Site-own;functional
deeplinks;1449670065362;http;www.nu.nl;"/overig";.scorecardresearch.com;"UIDR";"1449670065";ScoreCard Research;stats
deeplinks;1449670065362;http;www.nu.nl;"/overig";.scorecardresearch.com;"UID";"19F23a14a90a11122a650261449670065";ScoreCard Research;stats
deeplinks;1449670065362;http;www.nu.nl;"/overig";.sanoma.fi;"SanomaWeb";"82a81f2c-0bd9-40cd-99a5-d8948e04478a";Site-own;functional
deeplinks;1449670065362;http;www.nu.nl;"/overig";.www.nu.nl;"_gat";"1";Google Analytics;stats
deeplinks;1449670065362;http;www.nu.nl;"/overig";.www.nu.nl;"_ga";"GA1.3.1973679101.1449670066";Google Analytics;stats
deeplinks;1449670070924;http;www.nu.nl;"/reizen";bam.nr-data.net;"JSESSIONID";"92c39b080c905657";New Relic;ads
